FECHA_CORTE;DEPARTAMENTO;MUNICIPIO;GENERO;EDAD;CONVOCATORIA;ESTADOS;PLATAFORMA_EDUCATIVA;ESTADO_FORMACION;META_BENEFICIARIOS;META_DINERO;INVERSION;FECHA_VIGENCIA
1/1/1900 00:00;BOLIVAR;MAGANGUE;MASCULINO;42;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
31/12/2019 00:00;ATLANTICO;BARRANQUILLA;MASCULINO;36;ICETEX;BENEFICIARIO;COURSERA;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
31/12/2019 00:00;ATLANTICO;BARRANQUILLA;MASCULINO;36;ICETEX;BENEFICIARIO;COURSERA;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
1/1/1900 00:00;ATLANTICO;BARANOA;FEMENINO;44;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;FEMENINO;34;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;FEMENINO;34;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;FEMENINO;34;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;FEMENINO;34;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;FEMENINO;34;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;FEMENINO;34;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
31/12/2019 00:00;ATLANTICO;BARRANQUILLA;FEMENINO;25;ICETEX;BENEFICIARIO;EDX;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
1/1/1900 00:00;BOLIVAR;TURBACO;FEMENINO;30;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CORDOBA;FEMENINO;19;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
31/12/2019 00:00;ATLANTICO;BARRANQUILLA;MASCULINO;52;ICETEX;BENEFICIARIO;EDX;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
1/1/1900 00:00;BOLIVAR;CARTAGENA;MASCULINO;69;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
31/12/2019 00:00;BOLIVAR;CARTAGENA;FEMENINO;0;TECNALIA;BENEFICIARIO;COURSERA;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
31/12/2019 00:00;BOLIVAR;CARTAGENA;FEMENINO;0;TECNALIA;BENEFICIARIO;COURSERA;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
31/12/2019 00:00;BOLIVAR;CARTAGENA;FEMENINO;0;TECNALIA;BENEFICIARIO;COURSERA;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
31/12/2019 00:00;BOLIVAR;CARTAGENA;FEMENINO;0;TECNALIA;BENEFICIARIO;COURSERA;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
31/12/2019 00:00;BOLIVAR;CARTAGENA;FEMENINO;0;TECNALIA;BENEFICIARIO;COURSERA;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
31/12/2019 00:00;BOLIVAR;CARTAGENA;FEMENINO;0;TECNALIA;BENEFICIARIO;COURSERA;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
31/12/2019 00:00;BOLIVAR;CARTAGENA;FEMENINO;0;TECNALIA;BENEFICIARIO;COURSERA;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
31/12/2019 00:00;BOLIVAR;CARTAGENA;FEMENINO;0;TECNALIA;BENEFICIARIO;COURSERA;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
31/12/2019 00:00;BOLIVAR;CARTAGENA;FEMENINO;0;TECNALIA;BENEFICIARIO;COURSERA;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
31/12/2019 00:00;BOLIVAR;CARTAGENA;FEMENINO;0;TECNALIA;BENEFICIARIO;COURSERA;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
31/12/2019 00:00;BOLIVAR;CARTAGENA;FEMENINO;0;TECNALIA;BENEFICIARIO;COURSERA;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
31/12/2019 00:00;BOLIVAR;CARTAGENA;FEMENINO;0;TECNALIA;BENEFICIARIO;COURSERA;GRADUADO;4413;9000000000;2039429;31/12/2019 00:00
1/1/1900 00:00;BOLIVAR;VILLANUEVA;MASCULINO;19;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;VILLANUEVA;MASCULINO;19;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;CORDOBA;FEMENINO;21;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;ATLANTICO;SOLEDAD;MASCULINO;42;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;ATLANTICO;PUERTO COLOMBIA;MASCULINO;49;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;ATLANTICO;PUERTO COLOMBIA;MASCULINO;49;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;ATLANTICO;GALAPA;FEMENINO;21;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;BOLIVAR;SIMITI;MASCULINO;29;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;ATLANTICO;BARRANQUILLA;MASCULINO;34;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;ATLANTICO;BARRANQUILLA;MASCULINO;34;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;ATLANTICO;BARRANQUILLA;MASCULINO;34;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;ATLANTICO;BARRANQUILLA;MASCULINO;34;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;ATLANTICO;BARRANQUILLA;MASCULINO;34;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;ATLANTICO;BARRANQUILLA;MASCULINO;34;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;ATLANTICO;BARRANQUILLA;MASCULINO;34;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
1/1/1900 00:00;ATLANTICO;BARRANQUILLA;MASCULINO;34;ICETEX;ASPIRANTES;0;PENDIENTE CLASIFICAR;0;0;0;1/1/1900 00:00
